400,1.5471018872880785e-14
401,1.5464593553008415e-14
402,1.5458372663629026e-14
403,1.545226365337705e-14
404,1.5446171318304644e-14
405,1.5439997723153833e-14
406,1.543364214628162e-14
407,1.5427001048779164e-14
408,1.5419968068393434e-14
409,1.5412434038906507e-14
410,1.5404287035664857e-14
411,1.539541244796718e-14
412,1.538569307901994e-14
413,1.5375009274148983e-14
414,1.536323990080266e-14
415,1.5350338962051077e-14
416,1.533640008382809e-14
417,1.5321534487786644e-14
418,1.530585643847051e-14
419,1.5289483084323483e-14
420,1.5272534321860206e-14
421,1.5255132683802182e-14
422,1.5237403251939546e-14
423,1.52194735954441e-14
424,1.5201473735329774e-14
425,1.5183536135744006e-14
426,1.516579572276406e-14
427,1.514838993138118e-14
428,1.5131458781371542e-14
429,1.5115144982790302e-14
430,1.5099594071865895e-14
431,1.508495457813935e-14
432,1.5071373899388233e-14
433,1.5058878359540164e-14
434,1.5047354393231608e-14
435,1.5036678101359438e-14
436,1.5026722333143997e-14
437,1.5017356470532393e-14
438,1.5008446245665917e-14
439,1.499985359261562e-14
440,1.4991436534778162e-14
441,1.498304910946189e-14
442,1.497454133132036e-14
443,1.4965759196387896e-14
444,1.4956544728526845e-14
445,1.4946736070119867e-14
446,1.4936167618819337e-14
447,1.4924670212091997e-14
448,1.4912071361182095e-14
449,1.4898195535926033e-14
450,1.4882864501627187e-14
451,1.486589773505947e-14
452,1.484719024025331e-14
453,1.482688523923676e-14
454,1.4805179127801354e-14
455,1.478227203063206e-14
456,1.4758367391196485e-14
457,1.473367161434881e-14
458,1.4708393763609607e-14
459,1.4682745314769633e-14
460,1.465693996715543e-14
461,1.4631193513669463e-14
462,1.4605723770527355e-14
463,1.4580750567469478e-14
464,1.4556495799147695e-14
465,1.4533183538350905e-14
466,1.4511040211766594e-14
467,1.4490294839054554e-14
468,1.4471179336156862e-14
469,1.4453928883960117e-14
470,1.4438782363693672e-14
471,1.4425982860753604e-14
472,1.4415778239027284e-14
473,1.4408421643790296e-14
474,1.4404156989890814e-14
475,1.440320659975263e-14
476,1.440579807234624e-14
477,1.4412168473074306e-14
478,1.4422565395681456e-14
479,1.4437248098726762e-14
480,1.4456488729448727e-14
481,1.448057364922044e-14
482,1.4509804876347397e-14
483,1.4544501663745446e-14
484,1.4585002231051353e-14
485,1.4631665673009187e-14
486,1.4684874068571614e-14
487,1.474503481807098e-14
488,1.4812583239114094e-14
489,1.4887985455536183e-14
490,1.4971741617886184e-14
491,1.5064389498508103e-14
492,1.5166508509365742e-14
493,1.5278724196383942e-14
494,1.540171327019284e-14
495,1.5536209239816316e-14
496,1.5683008722954215e-14
497,1.5842884191518133e-14
498,1.60161561988518e-14
499,1.620299607623199e-14
500,1.6403588927565248e-14
501,1.6618130838368154e-14
502,1.6846825394504315e-14
503,1.708987953869346e-14
504,1.734749865607785e-14
505,1.7619880772789822e-14
506,1.7907209744506734e-14
507,1.8209647305468348e-14
508,1.8527323842291777e-14
509,1.8860327751005565e-14
510,1.9208693229876194e-14
511,1.957238635488587e-14
512,1.9951289279738935e-14
513,2.0345182399766872e-14
514,2.0753724322709297e-14
515,2.1176429505499124e-14
516,2.1612643454963975e-14
517,2.206151546598437e-14
518,2.2521969001091074e-14
519,2.299267002077821e-14
520,2.347199387256507e-14
521,2.3957991750979153e-14
522,2.4448359678153432e-14
523,2.4940867677313472e-14
524,2.5434106385174648e-14
525,2.592668600152502e-14
526,2.6417087976734147e-14
527,2.6903670452161625e-14
528,2.7384677729640927e-14
529,2.7858254034774995e-14
530,2.832246163671299e-14
531,2.877530316290792e-14
532,2.921474771635395e-14
533,2.963876018053511e-14
534,3.0045332898544873e-14
535,3.0432518750729026e-14
536,3.0798464540555144e-14
537,3.114144353912353e-14
538,3.14598860392411e-14
539,3.175240683089356e-14
540,3.201782862789146e-14
541,3.225520064310139e-14
542,3.246381171628055e-14
543,3.2643197630645655e-14
544,3.2793142496941117e-14
545,3.2913674321626155e-14
546,3.3005055094505514e-14
547,3.3067765918587954e-14
548,3.310248785199291e-14
549,3.311007923283044e-14
550,3.309155031142578e-14
551,3.3048013570574207e-14
552,3.298004012334857e-14
553,3.288756814894406e-14
554,3.277058191448817e-14
555,3.262915356731056e-14
556,3.246344640346516e-14
557,3.2273717314016797e-14
558,3.206031832608036e-14
559,3.182369717008687e-14
560,3.1564396821897236e-14
561,3.1283053987773305e-14
562,3.0980396521236444e-14
563,3.0657239782939574e-14
564,3.031448197720823e-14
565,2.9953098520910836e-14
566,2.957413552141236e-14
567,2.917870245945224e-14
568,2.8767964189525644e-14
569,2.834313238400528e-14
570,2.7905456557443395e-14
571,2.745621481400948e-14
572,2.6996704463566975e-14
573,2.6528232650695153e-14
574,2.6052107136021294e-14
575,2.5569627360936885e-14
576,2.508207591554284e-14
577,2.4590710516049385e-14
578,2.4096756582270745e-14
579,2.360140048916983e-14
580,2.310578354893683e-14
581,2.2610996762629202e-14
582,2.2118076363340495e-14
583,2.1628004134964876e-14
584,2.1141788947417225e-14
585,2.0660438345993583e-14
586,2.0184854790206982e-14
587,1.9715834400233076e-14
588,1.925407131259757e-14
589,1.8800162764387315e-14
590,1.8354614712763417e-14
591,1.7917847816648982e-14
592,1.7490203628687647e-14
593,1.7071950866924667e-14
594,1.6663291656477918e-14
595,1.626436765109159e-14
596,1.5875265962624655e-14
597,1.5496024842883217e-14
598,1.5126639076718446e-14
599,1.4767065057918226e-14
600,1.4417225530171375e-14
601,1.4077013984410859e-14
602,1.3746298711241604e-14
603,1.3424926513105492e-14
